sim,classic_est,classic_se,lasso_est,lasso_se,xgb_est,xgb_se
110,9.635078813093994,6.809816811727098,9.256677110929411,6.755217208203693,6.937241999674912,7.168069215124521
111,11.908783801097464,6.83945751932927,11.898561151244587,6.708941607376976,10.393304642043889,6.821087864741421
112,13.775378558634843,7.31644963588769,14.410213037050502,7.339818915106405,15.338027377041097,7.430788776756343
113,12.532171923981007,7.568604687677859,10.610603147509924,7.465962401578829,10.199823996910965,7.7891249753559615
114,20.3970586456329,6.2715362868934434,20.600368221055078,6.151166985937223,18.970866336791346,6.356049265799898
115,20.30426524922016,6.931584051777496,20.309240650094633,6.861750911049158,19.51659677318687,7.081463570588202
116,13.550948330839123,6.619206648843134,14.65127934073543,6.527196721993015,14.688181363532149,6.787014046920168
117,15.420749051622803,6.670305689320853,16.86344130290178,6.625626317742102,14.797722263913885,6.816426240791836
118,14.620048127429097,6.929053922070621,12.723397217708127,6.912272742630472,14.68884570886975,7.021143397848204
119,22.347524716356258,6.742167427147017,22.89836236920305,6.601662667870838,23.208931442321067,6.958255002035027
120,14.288542964012544,6.708986431394169,13.199594693646864,6.475927912567485,13.049521979282105,6.6229329944643265
121,3.2933525818673415,7.030492988764494,3.826040774369418,6.824710233688352,3.6258853436883816,7.062225115305536
122,8.208900709772935,6.485769860395858,9.525287420025126,6.419348765408502,7.986504146361444,6.569438043183638
123,13.510454934942402,6.639542810085835,13.176608197456694,6.703139756792393,11.497909516056628,6.929486101200092
124,-0.19606199985020306,6.984094368115436,0.2083609357075642,6.883702602491149,-0.09999290512188724,6.954928020541368
125,13.44760339040631,6.958244832554098,13.03509519586388,6.790742853069221,10.808786877113358,6.459324319173863
126,17.228493012836292,6.702224988899526,18.727499542744855,6.561842425704923,19.613444281283837,6.843686186126674
127,10.721454279717966,7.017708318040369,9.621190170371822,7.027306705550471,9.814586845260024,7.238107559093871
128,9.370624505544113,6.270830050670804,10.37704925708929,6.114698804732626,8.92475529667203,6.29759808611457
129,8.492454614049535,7.210304629858029,8.82838828728508,7.134670234542341,9.473090543624403,7.177816451255576
130,23.66132170671263,6.313257495977115,22.434302563107767,6.279499802968397,25.104296612485545,6.471398491404492
131,7.904455862699922,7.115846697473229,8.33161562105335,7.1792689355546635,6.314398538027645,7.330859738757941
132,15.217722847297363,7.008661764857075,16.204163114598117,6.953996440069942,15.498608592911069,7.144675871442403
133,20.67516446015005,6.215016111322998,21.804821822969796,6.1284865787274425,24.71294455256893,6.262516552857715
134,5.839432108420114,6.838372519727291,6.724429429190756,6.665919764697655,4.7419873365711345,6.8186702785804165
135,14.481131119410444,6.619899408188169,14.21213486478611,6.506983689314243,15.018905833403805,6.830473096053863
136,9.673334536547133,7.604381675565496,9.53799453422016,7.551575917962385,3.856689347323174,7.360095960854922
137,17.57371704443717,6.657826467348942,17.31262204773015,6.525127901855828,19.23569168850817,6.96670048371967
138,2.1027672401098894,6.851447684071932,1.56350908183989,6.885223612595052,2.7828469846993222,6.807124160677005
